Geo Point;Geo Shape;ins_nom;ins_com;ins_insee;eqt_nb;objectid;ins_id;ins_interc;ins_partic
48.5053400008,2.78517000055;"{""type"": ""Point"", ""coordinates"": [2.78517000055029, 48.50534000079612]}";ECOLE ELEMENTAIRE DES GRANDS BOIS;Le Châtelet-en-Brie;77100;1;1100;771000009;Brie des Rivières et Châteaux;Etablissement scolaire
48.8969200011,2.61681999987;"{""type"": ""Point"", ""coordinates"": [2.616819999872495, 48.89692000111754]}";PLAINE DE JEUX QUARTIER CHANTEREINE;Chelles;77108;1;1116;771080011;Paris – Vallée de la Marne;Non
48.8975000008,2.59663000058;"{""type"": ""Point"", ""coordinates"": [2.596630000584629, 48.89750000076746]}";PARCOURS DE SANTE;Chelles;77108;3;1121;771080017;Paris – Vallée de la Marne;Non
48.8787500012,2.58945999989;"{""type"": ""Point"", ""coordinates"": [2.589459999885278, 48.878750001191925]}";COLLEGE PIERRE WECZERKA;Chelles;77108;1;1124;771080020;Paris – Vallée de la Marne;Etablissement scolaire
48.8840250008,2.61563499919;"{""type"": ""Point"", ""coordinates"": [2.615634999186244, 48.88402500078064]}";CENTRE JEUNESSE CHEMINOTS;Chelles;77108;8;1128;771080024;Paris – Vallée de la Marne;Non
48.8788200009,2.76009499994;"{""type"": ""Point"", ""coordinates"": [2.760094999942353, 48.878820000932215]}";TENNIS COUVERTS ET ECOLE DE DANSE;Chessy;77111;3;1136;771110002;Val d'Europe agglomération;Non
48.994430001,2.66269199971;"{""type"": ""Point"", ""coordinates"": [2.662691999710809, 48.99443000095042]}";COMPLEXE SPORTIF NELSON MANDELA;Compans;77123;1;1179;771230001;Roissy Pays de France;CREPS ou Ecole nationale
48.8584000008,2.71904999935;"{""type"": ""Point"", ""coordinates"": [2.719049999348523, 48.85840000082458]}";TERRAIN DE PÉTANQUE;Conches-sur-Gondoire;77124;1;1185;771240002;Marne et Gondoire;Non
48.8978000008,2.83505999954;"{""type"": ""Point"", ""coordinates"": [2.835059999535634, 48.897800000839844]}";SALLE POLYVALENTE;Condé-Sainte-Libiaire;77125;1;1190;771250002;Pays Créçois;Non
48.8793666676,2.86164333457;"{""type"": ""Point"", ""coordinates"": [2.861643334569908, 48.879366667640596]}";ENSEMBLE SPORTIF DE PLEIN AIR;Couilly-Pont-aux-Dames;77128;10;1197;771280001;Pays Créçois;Non
48.8734000007,2.86466999997;"{""type"": ""Point"", ""coordinates"": [2.86466999996575, 48.873400000660645]}";ÉCURIES DE MARTIGNY;Couilly-Pont-aux-Dames;77128;2;1199;771280003;Pays Créçois;Non
48.8250000005,3.10318999938;"{""type"": ""Point"", ""coordinates"": [3.103189999376917, 48.82500000054875]}";CENTRE EQUESTRE DE COULOMMIERS;Coulommiers;77131;2;1213;771310022;Pays de Coulommiers;Non
